"X1","ids_lookup","sunburst_wheel","ids","selector","labels","risk","titles","parents","values","node","element","link"
2,"severe_1",1,"severe","severe","severe","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","severe HDFN",NA,25,"1","p","<ul> Published reports of hydrops fetalis or need for intrauterine transfusions.</ul>"
3,"moderate_1",1,"moderate","moderate","moderate","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","moderate HDFN",NA,25,"1","p","<ul> Published reports of need for exchange transfusion in neonatal life. </ul>"
4,"mild_1",1,"mild","mild","mild","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","mild HDFN",NA,25,"1","p","<ul> Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life"" </ul>"
5,"none_1",1,"none","none","none","None - ""no published reports of association with HDFN""","no HDFN",NA,25,"1","p","<ul> No published reports of association with HDFN </ul>"
6,"Globoside - severe_1",1,"Globoside - severe","Globoside - severe","Globoside","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Globoside","severe",4.16666666666667,"1","p","https://en.wikipedia.org/wiki/Globoside"
7,"Kell - severe_1",1,"Kell - severe","Kell - severe","Kell","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Kell","severe",4.16666666666667,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
8,"Mittenberger - severe_1",1,"Mittenberger - severe","Mittenberger - severe","Mittenberger","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Mittenberger","severe",4.16666666666667,"1","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
9,"MNSs - severe_1",1,"MNSs - severe","MNSs - severe","MNSs","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","MNSs","severe",4.16666666666667,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
10,"Rhesus - severe_1",1,"Rhesus - severe","Rhesus - severe","Rhesus","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Rhesus","severe",4.16666666666667,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
11,"Low_prevalence_antigen - severe_1",1,"Low_prevalence_antigen - severe","Low_prevalence_antigen - severe","Low_prevalence_antigen","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Low_prevalence_antigen","severe",4.16666666666667,"8","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
12,"Colton - moderate_1",1,"Colton - moderate","Colton - moderate","Colton","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Colton","moderate",2.77777777777778,"1, 2","p","https://en.wikipedia.org/wiki/Colton_antigen_system"
13,"Diego - moderate_1",1,"Diego - moderate","Diego - moderate","Diego","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Diego","moderate",2.77777777777778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
14,"Duffy - moderate_1",1,"Duffy - moderate","Duffy - moderate","Duffy","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Duffy","moderate",2.77777777777778,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
15,"Gerbich - moderate_1",1,"Gerbich - moderate","Gerbich - moderate","Gerbich","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Gerbich","moderate",2.77777777777778,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C"
16,"H - moderate_1",1,"H - moderate","H - moderate","H","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","H","moderate",2.77777777777778,"1","li","https://en.wikipedia.org/wiki/H_antigen"
17,"Kell - moderate_1",1,"Kell - moderate","Kell - moderate","Kell","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Kell","moderate",2.77777777777778,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
18,"MNSs - moderate_1",1,"MNSs - moderate","MNSs - moderate","MNSs","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","MNSs","moderate",2.77777777777778,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
19,"Rhesus - moderate_1",1,"Rhesus - moderate","Rhesus - moderate","Rhesus","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Rhesus","moderate",2.77777777777778,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
20,"Low_prevalence_antigen - moderate_1",1,"Low_prevalence_antigen - moderate","Low_prevalence_antigen - moderate","Low_prevalence_antigen","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Low_prevalence_antigen","moderate",2.77777777777778,"8","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
21,"ABO - mild_1",1,"ABO - mild","ABO - mild","ABO","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","ABO","mild",1.78571428571429,"2, 30","p","https://en.wikipedia.org/wiki/ABO_blood_group_system"
22,"Colton - mild_1",1,"Colton - mild","Colton - mild","Colton","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Colton","mild",1.78571428571429,"1, 2","p","https://en.wikipedia.org/wiki/Colton_antigen_system"
23,"Duffy - mild_1",1,"Duffy - mild","Duffy - mild","Duffy","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Duffy","mild",1.78571428571429,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
24,"Junior - mild_1",1,"Junior - mild","Junior - mild","Junior","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Junior","mild",1.78571428571429,"1","p","https://en.wikipedia.org/wiki/Junior_blood_group_system"
25,"Kell - mild_1",1,"Kell - mild","Kell - mild","Kell","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Kell","mild",1.78571428571429,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
26,"Kidd - mild_1",1,"Kidd - mild","Kidd - mild","Kidd","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Kidd","mild",1.78571428571429,"1, 2, 16","p","https://en.wikipedia.org/wiki/Kidd_antigen_system"
27,"Langereis - mild_1",1,"Langereis - mild","Langereis - mild","Langereis","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Langereis","mild",1.78571428571429,"1","p","https://en.wikipedia.org/wiki/Lan_blood_group_system"
28,"Lutheran - mild_1",1,"Lutheran - mild","Lutheran - mild","Lutheran","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Lutheran","mild",1.78571428571429,"1, 2, 3","p","https://en.wikipedia.org/wiki/Lutheran_antigen_system"
